names,D,std_grain,rho,std
40,508.68253876124055,0.0006358767132451101,3.2061277333715852e+16,1.1522801016742708e+16
41,508.5293794334554,0.0006461538520393302,3.0816775999140576e+16,1.1251143879391596e+16
42,513.4105931325433,0.0006075222930967844,3.21056683454544e+16,1.1126696699354158e+16
43,516.6986125676472,0.0006046871489127215,3.123677917743463e+16,1.084405651428283e+16
44,506.5867466575634,0.0006684449062441365,2.9972449485436184e+16,1.1277145121249962e+16
45,509.0128454359081,0.0006683924776613624,2.91096575922057e+16,1.100410899545345e+16
46,509.68392620971,0.0006371988130115319,3.0459263368057172e+16,1.0991394160544486e+16
47,506.6541231540342,0.0006726554233421036,3.1553964917709484e+16,1.1948562463422822e+16
48,512.8449324799393,0.0006352397589994594,2.972627968298873e+16,1.0760235859712946e+16
49,516.6704880490295,0.0006160826088769242,2.9460731945244604e+16,1.0419661926393074e+16
50,522.1987673903055,0.0005848335052988405,3.1449685119014936e+16,1.0671903266709096e+16
51,522.0375794078377,0.0005567490662592378,3.146391115350512e+16,1.0160883271785428e+16
52,511.06158112141554,0.000637054291524284,3.0798481755994984e+16,1.1141315647392604e+16
53,508.1423042969411,0.0006276827582566802,3.146667185202651e+16,1.1151514504747146e+16
54,509.7351528705802,0.0006464981244531415,3.0214138781293428e+16,1.1063169452091908e+16
55,512.2782061786862,0.0006286017858354186,3.0389890760659588e+16,1.087346898717653e+16
56,519.9808886647942,0.0005733831535924509,3.1333937822177464e+16,1.0380177469063176e+16
57,505.242783117452,0.0006798999630886905,3.1977811322041444e+16,1.2205381614712518e+16
58,507.7625117111427,0.0006686291049153131,2.9768983225211948e+16,1.1229680565533398e+16
59,511.8386925397341,0.0006198675369028847,3.1020667445826932e+16,1.093555009390426e+16
60,522.2763376467491,0.0005671276379035241,3.2531637600792612e+16,1.0706427454122838e+16
61,521.2334121808855,0.0005823469814825716,2.9823201058169944e+16,1.0058328672477126e+16
62,520.0686571380196,0.0005771594332232533,3.116278770008519e+16,1.0393223601396196e+16
63,511.9679868290722,0.0006309766289457362,2.9699397306953384e+16,1.0660098210585578e+16
64,516.4064912259138,0.0006058469561002127,3.0876925509348588e+16,1.0733618704462278e+16
65,517.4584496907869,0.0005902664011291155,3.1781346517012844e+16,1.0785824024960364e+16
66,517.5536450216624,0.0005961291158219814,3.017487260184362e+16,1.0344241263728696e+16
67,506.44356740829755,0.0006942968886354832,2.9288511856433428e+16,1.1442767524678416e+16
68,509.1964919311842,0.000637094862872965,3.142589469096549e+16,1.1327515042465762e+16
69,510.35996741074723,0.0006501822648156327,2.9976358144098004e+16,1.1052183309293788e+16
70,511.2001302561849,0.000631013615355435,3.259284041694995e+16,1.1681789782177616e+16
71,509.9370086812514,0.0006523893217440125,3.150907427413847e+16,1.1647065302305856e+16
72,514.4542444274798,0.0006135800059142714,3.0731060875804132e+16,1.0778367752182292e+16
73,513.5232432023523,0.0006339453160341225,3.0742842777748132e+16,1.1120220977229704e+16
74,521.2125583813175,0.0005918995554132239,3.0707630347617664e+16,1.0526080320693702e+16
75,508.06054232391534,0.0007030361973987192,2.821207587477679e+16,1.1196587732620598e+16
76,514.8325275924891,0.0006150521386140372,3.124606843109063e+16,1.0993368384285746e+16
77,516.9453944136167,0.0005991404737651904,3.05936475248513e+16,1.0528392770692996e+16
78,508.1137518224172,0.0006535100596210578,3.080149814788931e+16,1.1364296530217598e+16
79,507.8133773991352,0.0006690549021978384,3.0144488553970556e+16,1.1379712888266614e+16
80,509.0074401352597,0.0006384948019848118,3.0529230643855836e+16,1.1024397068617006e+16
81,520.0478204055885,0.000627396991678434,2.8684458945606976e+16,1.0398958991337838e+16
82,515.4025383746372,0.000608606166838138,3.194054845132976e+16,1.1132245145716078e+16
83,530.4749064404459,0.0005167886098927597,3.3601172403081308e+16,1.0235043659068336e+16
84,514.6415211876688,0.0006027797676711443,3.1376479418456136e+16,1.0814966826205604e+16
85,507.3008663884665,0.0006498043396097528,3.143605184708384e+16,1.1514198131582892e+16
86,510.3839387399522,0.000668760706120333,2.954120614776203e+16,1.1203493348084192e+16
